Class of Orbit;Country of Operator/Owner;Apogee (Kilometers);Contractor;COSPAR Number;Country of Contractor;Country/Organization of UN Registry;Eccentricity;Launch Site;Launch Vehicle;NORAD Number;Official Name of Satellite;Operator/Owner;Perigee (Kilometers);Purpose;Users
LEO;Denmark;687;University of Aalborg;2016-025E;Denmark;NR;0.0177;Guiana Space Center;Soyuz 2.1a;41460;AAUSat-4;University of Aalborg;442;Earth Observation;Civil
GEO;Multinational;35793;Space Systems/Loral;2014-006A;USA;NR;0.000178;Guiana Space Center;Ariane  5 ECA;39508;ABS-2;Asia Broadcast Satellite Ltd.;35778;Communications;Commercial
GEO;Multinational;35700;Boeing Satellite Systems;2016-038A;USA;NR;0;Cape Canaveral;Falcon 9;41588;ABS-2A;Asia Broadcast Satellite Ltd.;35700;Communications;Commercial
GEO;Multinational;35802;Space Systems/Loral;1997-042A;USA;Philippines;0.000391;Xichang Satellite Launch Center;Long March CZ3B;24901;ABS-3;Asia Broadcast Satellite Ltd.;35769;Communications;Commercial
GEO;Multinational;35803;Boeing Satellite Systems;2015-010A;USA;NR;0.000178;Cape Canaveral;Falcon 9;40424;ABS-3A;Asia Broadcast Satellite Ltd.;35788;Communications;Commercial
GEO;Multinational;35793;Space Systems/Loral;2004-007A;USA;NR;0.000154;Cape Canaveral;Atlas 3;28184;ABS-4;Asia Broadcast Satellite Ltd.;35780;Communications;Commercial
GEO;Multinational;35794;Lockheed Martin;1999-053A;USA;NR;0.000202;Baikonur Cosmodrome;Proton;25924;ABS-6;Asia Broadcast Satellite Ltd.;35777;Communications;Commercial
GEO;Multinational;35791;Lockheed Martin Astro Space;1999-046A;USA;South Korea;0.00013;Guiana Space Center;Ariane;25894;ABS-7;Asia Broadcast Satellite Ltd.;35780;Communications;Commercial
GEO;USA;36013;TRW Space and Electronics;1998-029A;USA;USA;0.00537;Cape Canaveral;Titan IVA;25336;USA 139;National Reconnaissance Office (NRO);35560;Earth Observation;Military
GEO;USA;35984;TRW Space and Electronics;2003-041A;USA;USA;0.00468;Cape Canaveral;Titan IV;27937;USA 171;National Reconnaissance Office (NRO);35589;Earth Observation;Military
